County,Barry Fleming (I) (Rep)_Election Day Votes,Barry Fleming (I) (Rep)_Absentee by Mail Votes,Barry Fleming (I) (Rep)_Advanced Voting Votes,Barry Fleming (I) (Rep)_Provisional Votes,Barry Fleming (I) (Rep)_TOTAL VOTES,Total,
Columbia,5073,2930,11453,19,19475,19475,
McDuffie,990,1206,4620,0,6816,6816,
