County,Sharon Henderson (Dem)_Election Day Votes,Sharon Henderson (Dem)_Absentee by Mail Votes,Sharon Henderson (Dem)_Advanced Voting Votes,Sharon Henderson (Dem)_Provisional Votes,Sharon Henderson (Dem)_TOTAL VOTES,Total,
Newton,5232,6755,8918,13,20918,20918,
Rockdale,327,817,1672,0,2816,2816,
