County,Matt Barton (I) (Rep)_Election Day Votes,Matt Barton (I) (Rep)_Absentee by Mail Votes,Matt Barton (I) (Rep)_Advanced Voting Votes,Matt Barton (I) (Rep)_Provisional Votes,Matt Barton (I) (Rep)_TOTAL VOTES,Total,
Gordon,5748,2585,9321,10,17664,17664,
Murray,702,216,839,0,1757,1757,
