County,Taryn Chilivis Bowman (Rep)_Election Day Votes,Taryn Chilivis Bowman (Rep)_Absentee by Mail Votes,Taryn Chilivis Bowman (Rep)_Advanced Voting Votes,Taryn Chilivis Bowman (Rep)_Provisional Votes,Taryn Chilivis Bowman (Rep)_TOTAL VOTES,Erick Eugene Allen (I) (Dem)_Election Day Votes,Erick Eugene Allen (I) (Dem)_Absentee by Mail Votes,Erick Eugene Allen (I) (Dem)_Advanced Voting Votes,Erick Eugene Allen (I) (Dem)_Provisional Votes,Erick Eugene Allen (I) (Dem)_TOTAL VOTES,Total,
Cobb,2769,5131,5726,7,13633,2192,8824,8529,8,19553,33186,
Fulton,160,258,719,3,1140,95,343,718,6,1162,2302,
