County,Mike Cheokas (I) (Rep)_Election Day Votes,Mike Cheokas (I) (Rep)_Absentee by Mail Votes,Mike Cheokas (I) (Rep)_Advanced Voting Votes,Mike Cheokas (I) (Rep)_Provisional Votes,Mike Cheokas (I) (Rep)_TOTAL VOTES,Marc Arnett (Dem)_Election Day Votes,Marc Arnett (Dem)_Absentee by Mail Votes,Marc Arnett (Dem)_Advanced Voting Votes,Marc Arnett (Dem)_Provisional Votes,Marc Arnett (Dem)_TOTAL VOTES,Total,
Chattahoochee,280,124,452,2,858,154,164,327,1,646,1504,
Marion,746,315,1243,0,2304,229,452,578,0,1259,3563,
Schley,290,173,1317,1,1781,75,142,251,0,468,2249,
Sumter,1060,713,2814,12,4599,1046,1811,2943,4,5804,10403,
