County,Eddie Lumsden (I) (Rep)_Election Day Votes,Eddie Lumsden (I) (Rep)_Absentee by Mail Votes,Eddie Lumsden (I) (Rep)_Advanced Voting Votes,Eddie Lumsden (I) (Rep)_Provisional Votes,Eddie Lumsden (I) (Rep)_TOTAL VOTES,Jonathan Gilreath-Harvey (Dem)_Election Day Votes,Jonathan Gilreath-Harvey (Dem)_Absentee by Mail Votes,Jonathan Gilreath-Harvey (Dem)_Advanced Voting Votes,Jonathan Gilreath-Harvey (Dem)_Provisional Votes,Jonathan Gilreath-Harvey (Dem)_TOTAL VOTES,Total,
Chattooga,2410,1122,4449,4,7985,366,615,774,2,1757,9742,
Floyd,3100,1405,4663,46,9214,500,731,983,7,2221,11435,
