County,Rhonda S. Taylor (Dem)_Election Day Votes,Rhonda S. Taylor (Dem)_Absentee by Mail Votes,Rhonda S. Taylor (Dem)_Advanced Voting Votes,Rhonda S. Taylor (Dem)_Provisional Votes,Rhonda S. Taylor (Dem)_TOTAL VOTES,Total,
DeKalb,1474,2896,7000,20,11390,11390,
Rockdale,1764,4509,9610,8,15891,15891,
