County,Greg Morris (I) (Rep)_Election Day Votes,Greg Morris (I) (Rep)_Absentee by Mail Votes,Greg Morris (I) (Rep)_Advanced Voting Votes,Greg Morris (I) (Rep)_Provisional Votes,Greg Morris (I) (Rep)_TOTAL VOTES,Total,
Appling,1336,793,3053,10,5192,5192,
Jeff Davis,416,128,815,0,1359,1359,
Montgomery,1232,478,1684,0,3394,3394,
Toombs,2115,1628,5401,7,9151,9151,
