County,John L. Corbett (I) (Rep)_Election Day Votes,John L. Corbett (I) (Rep)_Absentee by Mail Votes,John L. Corbett (I) (Rep)_Advanced Voting Votes,John L. Corbett (I) (Rep)_Provisional Votes,John L. Corbett (I) (Rep)_TOTAL VOTES,Total,
Camden,690,422,1883,0,2995,2995,
Charlton,1035,440,1829,1,3305,3305,
Clinch,700,257,1362,1,2320,2320,
Echols,231,137,954,0,1322,1322,
Lowndes,1991,914,3836,46,6787,6787,
Ware,518,328,909,0,1755,1755,
