County,John LaHood (I) (Rep)_Election Day Votes,John LaHood (I) (Rep)_Absentee by Mail Votes,John LaHood (I) (Rep)_Advanced Voting Votes,John LaHood (I) (Rep)_Provisional Votes,John LaHood (I) (Rep)_TOTAL VOTES,Total,
Brooks,1670,872,2761,2,5305,5305,
Lowndes,1615,1711,7503,50,10879,10879,
Thomas,1241,1022,4298,0,6561,6561,
