County,Jesse Petrea (I) (Rep)_Election Day Votes,Jesse Petrea (I) (Rep)_Absentee by Mail Votes,Jesse Petrea (I) (Rep)_Advanced Voting Votes,Jesse Petrea (I) (Rep)_Provisional Votes,Jesse Petrea (I) (Rep)_TOTAL VOTES,Michael Mack (Dem)_Election Day Votes,Michael Mack (Dem)_Absentee by Mail Votes,Michael Mack (Dem)_Advanced Voting Votes,Michael Mack (Dem)_Provisional Votes,Michael Mack (Dem)_TOTAL VOTES,Total,
Bryan,700,586,3811,0,5097,136,596,1069,0,1801,6898,
Chatham,7710,5242,7983,26,20961,1635,4436,3234,9,9314,30275,
