County,John Carson (I) (Rep)_Election Day Votes,John Carson (I) (Rep)_Absentee by Mail Votes,John Carson (I) (Rep)_Advanced Voting Votes,John Carson (I) (Rep)_Provisional Votes,John Carson (I) (Rep)_TOTAL VOTES,Caroline L. Holko (Dem)_Election Day Votes,Caroline L. Holko (Dem)_Absentee by Mail Votes,Caroline L. Holko (Dem)_Advanced Voting Votes,Caroline L. Holko (Dem)_Provisional Votes,Caroline L. Holko (Dem)_TOTAL VOTES,Total,
Cherokee,1753,2093,3734,0,7580,627,1783,1666,0,4076,11656,
Cobb,3945,4371,5806,10,14132,1316,4774,3445,4,9539,23671,
