County,David Ralston (I) (Rep)_Election Day Votes,David Ralston (I) (Rep)_Absentee by Mail Votes,David Ralston (I) (Rep)_Advanced Voting Votes,David Ralston (I) (Rep)_Provisional Votes,David Ralston (I) (Rep)_TOTAL VOTES,Rick D. Day (Dem)_Election Day Votes,Rick D. Day (Dem)_Absentee by Mail Votes,Rick D. Day (Dem)_Advanced Voting Votes,Rick D. Day (Dem)_Provisional Votes,Rick D. Day (Dem)_TOTAL VOTES,Total,
Dawson,400,348,915,0,1663,33,216,191,0,440,2103,
Fannin,4028,2334,5667,17,12046,387,960,899,3,2249,14295,
Gilmer,4282,2275,6796,12,13365,427,1066,1073,0,2566,15931,
