County,"Noel Williams, Jr. (I) (Rep)_Election Day Votes","Noel Williams, Jr. (I) (Rep)_Absentee by Mail Votes","Noel Williams, Jr. (I) (Rep)_Advanced Voting Votes","Noel Williams, Jr. (I) (Rep)_Provisional Votes","Noel Williams, Jr. (I) (Rep)_TOTAL VOTES",Regina Awung (Dem)_Election Day Votes,Regina Awung (Dem)_Absentee by Mail Votes,Regina Awung (Dem)_Advanced Voting Votes,Regina Awung (Dem)_Provisional Votes,Regina Awung (Dem)_TOTAL VOTES,Total,
Crisp,1052,919,3434,3,5408,475,719,1241,1,2436,7844,
Houston,1827,634,2393,3,4857,500,676,835,4,2015,6872,
Pulaski,326,324,2145,1,2796,153,298,620,0,1071,3867,
Wilcox,728,346,1308,0,2382,268,199,333,0,800,3182,
