County,Sam Watson (I) (Rep)_Election Day Votes,Sam Watson (I) (Rep)_Absentee by Mail Votes,Sam Watson (I) (Rep)_Advanced Voting Votes,Sam Watson (I) (Rep)_Provisional Votes,Sam Watson (I) (Rep)_TOTAL VOTES,Total,
Colquitt,2959,1426,5133,5,9523,9523,
Thomas,999,336,1676,1,3012,3012,
Tift,1014,385,1617,5,3021,3021,
