County,Philip Singleton (I) (Rep)_Election Day Votes,Philip Singleton (I) (Rep)_Absentee by Mail Votes,Philip Singleton (I) (Rep)_Advanced Voting Votes,Philip Singleton (I) (Rep)_Provisional Votes,Philip Singleton (I) (Rep)_TOTAL VOTES,Jill  Prouty (Dem)_Election Day Votes,Jill  Prouty (Dem)_Absentee by Mail Votes,Jill  Prouty (Dem)_Advanced Voting Votes,Jill  Prouty (Dem)_Provisional Votes,Jill  Prouty (Dem)_TOTAL VOTES,Total,
Coweta,7622,4154,11861,2,23639,1507,3010,3460,6,7983,31622,
Fayette,260,345,1284,0,1889,167,481,926,0,1574,3463,
