County,David Callahan (Rep)_Election Day Votes,David Callahan (Rep)_Absentee by Mail Votes,David Callahan (Rep)_Advanced Voting Votes,David Callahan (Rep)_Provisional Votes,David Callahan (Rep)_TOTAL VOTES,Debra Bazemore (I) (Dem)_Election Day Votes,Debra Bazemore (I) (Dem)_Absentee by Mail Votes,Debra Bazemore (I) (Dem)_Advanced Voting Votes,Debra Bazemore (I) (Dem)_Provisional Votes,Debra Bazemore (I) (Dem)_TOTAL VOTES,Total,
Clayton,129,169,370,1,669,502,1031,2156,4,3693,4362,
Fayette,868,1333,2594,0,4795,1044,3318,4938,0,9300,14095,
Fulton,127,80,195,3,405,1536,2646,5383,46,9611,10016,
