County,Clay Pirkle (I) (Rep)_Election Day Votes,Clay Pirkle (I) (Rep)_Absentee by Mail Votes,Clay Pirkle (I) (Rep)_Advanced Voting Votes,Clay Pirkle (I) (Rep)_Provisional Votes,Clay Pirkle (I) (Rep)_TOTAL VOTES,Lethia Jones Kittrell (Dem)_Election Day Votes,Lethia Jones Kittrell (Dem)_Absentee by Mail Votes,Lethia Jones Kittrell (Dem)_Advanced Voting Votes,Lethia Jones Kittrell (Dem)_Provisional Votes,Lethia Jones Kittrell (Dem)_TOTAL VOTES,Total,
Ben Hill,424,534,3107,0,4065,346,696,1332,0,2374,6439,
Coffee,569,130,1064,0,1763,163,73,223,0,459,2222,
Irwin,653,379,2104,3,3139,227,241,494,2,964,4103,
Tift,1146,562,3009,2,4719,238,289,631,0,1158,5877,
Turner,395,256,1794,1,2446,304,257,697,1,1259,3705,
