County,Butch Parrish (I) (Rep)_Election Day Votes,Butch Parrish (I) (Rep)_Absentee by Mail Votes,Butch Parrish (I) (Rep)_Advanced Voting Votes,Butch Parrish (I) (Rep)_Provisional Votes,Butch Parrish (I) (Rep)_TOTAL VOTES,Ann P.D. Gleason (Dem)_Election Day Votes,Ann P.D. Gleason (Dem)_Absentee by Mail Votes,Ann P.D. Gleason (Dem)_Advanced Voting Votes,Ann P.D. Gleason (Dem)_Provisional Votes,Ann P.D. Gleason (Dem)_TOTAL VOTES,Total,
Bulloch,923,568,1527,5,3023,502,718,1046,8,2274,5297,
Candler,1622,422,1187,0,3231,462,320,313,1,1096,4327,
Emanuel,2638,1029,3310,1,6978,667,627,944,1,2239,9217,
Jenkins,564,351,1230,3,2148,286,379,498,1,1164,3312,
