County,Scott Holcomb (I) (Dem)_Election Day Votes,Scott Holcomb (I) (Dem)_Absentee by Mail Votes,Scott Holcomb (I) (Dem)_Advanced Voting Votes,Scott Holcomb (I) (Dem)_Provisional Votes,Scott Holcomb (I) (Dem)_TOTAL VOTES,Total,
DeKalb,2166,5551,8430,24,16171,16171,
Gwinnett,301,366,565,1,1233,1233,
