County,Clint Crowe (Rep)_Election Day Votes,Clint Crowe (Rep)_Absentee by Mail Votes,Clint Crowe (Rep)_Advanced Voting Votes,Clint Crowe (Rep)_Provisional Votes,Clint Crowe (Rep)_TOTAL VOTES,Ebony Carter (Dem)_Election Day Votes,Ebony Carter (Dem)_Absentee by Mail Votes,Ebony Carter (Dem)_Advanced Voting Votes,Ebony Carter (Dem)_Provisional Votes,Ebony Carter (Dem)_TOTAL VOTES,Total,
Butts,455,597,3582,0,4634,120,301,604,0,1025,5659,
Henry,1697,1159,4984,2,7842,1211,2290,4260,12,7773,15615,
Newton,1359,610,1280,3,3252,845,1248,1565,2,3660,6912,
