County,Erica McCurdy (Rep)_Election Day Votes,Erica McCurdy (Rep)_Absentee by Mail Votes,Erica McCurdy (Rep)_Advanced Voting Votes,Erica McCurdy (Rep)_Provisional Votes,Erica McCurdy (Rep)_TOTAL VOTES,Beth Moore (I) (Dem)_Election Day Votes,Beth Moore (I) (Dem)_Absentee by Mail Votes,Beth Moore (I) (Dem)_Advanced Voting Votes,Beth Moore (I) (Dem)_Provisional Votes,Beth Moore (I) (Dem)_TOTAL VOTES,Total,
Fulton,92,217,788,0,1097,41,246,410,0,697,1794,
Gwinnett,3052,3647,5217,10,11926,2608,6179,7018,28,15833,27759,
