County,Sheila Jones (I) (Dem)_Election Day Votes,Sheila Jones (I) (Dem)_Absentee by Mail Votes,Sheila Jones (I) (Dem)_Advanced Voting Votes,Sheila Jones (I) (Dem)_Provisional Votes,Sheila Jones (I) (Dem)_TOTAL VOTES,Total,
Cobb,751,2234,2933,0,5918,5918,
Fulton,2508,5031,10879,249,18667,18667,
