County,Micah Gravley (I) (Rep)_Election Day Votes,Micah Gravley (I) (Rep)_Absentee by Mail Votes,Micah Gravley (I) (Rep)_Advanced Voting Votes,Micah Gravley (I) (Rep)_Provisional Votes,Micah Gravley (I) (Rep)_TOTAL VOTES,Angela Mayfield (Dem)_Election Day Votes,Angela Mayfield (Dem)_Absentee by Mail Votes,Angela Mayfield (Dem)_Advanced Voting Votes,Angela Mayfield (Dem)_Provisional Votes,Angela Mayfield (Dem)_TOTAL VOTES,Total,
Douglas,2034,2001,5566,3,9604,1211,2560,3593,5,7369,16973,
Paulding,1518,1138,5381,0,8037,496,1098,1818,0,3412,11449,
