County,"William """"Bill"""" Werkheiser (I) (Rep)_Election Day Votes","William """"Bill"""" Werkheiser (I) (Rep)_Absentee by Mail Votes","William """"Bill"""" Werkheiser (I) (Rep)_Advanced Voting Votes","William """"Bill"""" Werkheiser (I) (Rep)_Provisional Votes","William """"Bill"""" Werkheiser (I) (Rep)_TOTAL VOTES",Total,
Evans,591,630,2223,0,3444,3444,
Tattnall,1702,1009,4072,0,6783,6783,
Wayne,1155,972,3842,3,5972,5972,
