County,Derrick L. Jackson (I) (Dem)_Election Day Votes,Derrick L. Jackson (I) (Dem)_Absentee by Mail Votes,Derrick L. Jackson (I) (Dem)_Advanced Voting Votes,Derrick L. Jackson (I) (Dem)_Provisional Votes,Derrick L. Jackson (I) (Dem)_TOTAL VOTES,Total,
Fayette,1273,3044,6385,0,10702,10702,
Fulton,1995,4241,9567,70,15873,15873,
