County,Jason T. Ridley (I) (Rep)_Election Day Votes,Jason T. Ridley (I) (Rep)_Absentee by Mail Votes,Jason T. Ridley (I) (Rep)_Advanced Voting Votes,Jason T. Ridley (I) (Rep)_Provisional Votes,Jason T. Ridley (I) (Rep)_TOTAL VOTES,Total,
Murray,1849,636,3534,0,6019,6019,
Whitfield,4292,1773,6131,12,12208,12208,
