County,Dominic LaRiccia (I) (Rep)_Election Day Votes,Dominic LaRiccia (I) (Rep)_Absentee by Mail Votes,Dominic LaRiccia (I) (Rep)_Advanced Voting Votes,Dominic LaRiccia (I) (Rep)_Provisional Votes,Dominic LaRiccia (I) (Rep)_TOTAL VOTES,"Michael """"Buckle"""" Moore (Dem)_Election Day Votes","Michael """"Buckle"""" Moore (Dem)_Absentee by Mail Votes","Michael """"Buckle"""" Moore (Dem)_Advanced Voting Votes","Michael """"Buckle"""" Moore (Dem)_Provisional Votes","Michael """"Buckle"""" Moore (Dem)_TOTAL VOTES",Total,
Bacon,396,466,2959,2,3823,146,172,278,0,596,4419,
Coffee,1791,782,5610,6,8189,1024,860,2259,1,4144,12333,
Jeff Davis,547,208,992,0,1747,85,93,156,0,334,2081,
