County,Alan Cole (Rep)_Election Day Votes,Alan Cole (Rep)_Absentee by Mail Votes,Alan Cole (Rep)_Advanced Voting Votes,Alan Cole (Rep)_Provisional Votes,Alan Cole (Rep)_TOTAL VOTES,Matthew Wilson (I) (Dem)_Election Day Votes,Matthew Wilson (I) (Dem)_Absentee by Mail Votes,Matthew Wilson (I) (Dem)_Advanced Voting Votes,Matthew Wilson (I) (Dem)_Provisional Votes,Matthew Wilson (I) (Dem)_TOTAL VOTES,Total,
DeKalb,1509,2065,5104,13,8691,931,4988,6557,21,12497,21188,
Fulton,492,852,2115,21,3480,375,1598,2847,26,4846,8326,
