County,Karen Mathiak (I) (Rep)_Election Day Votes,Karen Mathiak (I) (Rep)_Absentee by Mail Votes,Karen Mathiak (I) (Rep)_Advanced Voting Votes,Karen Mathiak (I) (Rep)_Provisional Votes,Karen Mathiak (I) (Rep)_TOTAL VOTES,William Harris (Dem)_Election Day Votes,William Harris (Dem)_Absentee by Mail Votes,William Harris (Dem)_Advanced Voting Votes,William Harris (Dem)_Provisional Votes,William Harris (Dem)_TOTAL VOTES,Total,
Fayette,893,1087,2167,0,4147,306,926,1194,0,2426,6573,
Henry,490,603,2840,1,3934,692,1710,3695,0,6097,10031,
Spalding,2519,1428,3605,138,7690,963,1362,1683,86,4094,11784,
