County,Danny Mathis (I) (Rep)_Election Day Votes,Danny Mathis (I) (Rep)_Absentee by Mail Votes,Danny Mathis (I) (Rep)_Advanced Voting Votes,Danny Mathis (I) (Rep)_Provisional Votes,Danny Mathis (I) (Rep)_TOTAL VOTES,Mary Whipple-Lue (Dem)_Election Day Votes,Mary Whipple-Lue (Dem)_Absentee by Mail Votes,Mary Whipple-Lue (Dem)_Advanced Voting Votes,Mary Whipple-Lue (Dem)_Provisional Votes,Mary Whipple-Lue (Dem)_TOTAL VOTES,Total,
Bibb,687,257,657,2,1603,170,219,413,3,805,2408,
Bleckley,1038,715,2973,2,4728,196,314,401,0,911,5639,
Houston,916,648,1624,0,3188,218,550,672,0,1440,4628,
Jones,918,344,1260,2,2524,196,250,412,1,859,3383,
Laurens,488,206,664,0,1358,143,192,227,0,562,1920,
Twiggs,833,348,1225,0,2406,402,678,816,4,1900,4306,
Wilkinson,1317,277,1155,4,2753,462,535,830,2,1829,4582,
