County,David Knight (I) (Rep)_Election Day Votes,David Knight (I) (Rep)_Absentee by Mail Votes,David Knight (I) (Rep)_Advanced Voting Votes,David Knight (I) (Rep)_Provisional Votes,David Knight (I) (Rep)_TOTAL VOTES,Sheila Henley (Dem)_Election Day Votes,Sheila Henley (Dem)_Absentee by Mail Votes,Sheila Henley (Dem)_Advanced Voting Votes,Sheila Henley (Dem)_Provisional Votes,Sheila Henley (Dem)_TOTAL VOTES,Total,
Henry,218,252,1068,1,1539,355,891,1995,0,3241,4780,
Lamar,1120,480,2328,3,3931,210,346,456,1,1013,4944,
Spalding,2725,2193,5246,389,10553,1563,2602,2731,248,7144,17697,
