County,Mack Jackson (I) (Dem)_Election Day Votes,Mack Jackson (I) (Dem)_Absentee by Mail Votes,Mack Jackson (I) (Dem)_Advanced Voting Votes,Mack Jackson (I) (Dem)_Provisional Votes,Mack Jackson (I) (Dem)_TOTAL VOTES,Total,
Glascock,270,115,400,0,785,785,
Hancock,721,1200,1312,2,3235,3235,
Jefferson,362,362,506,0,1230,1230,
Johnson,251,309,855,0,1415,1415,
McDuffie,239,540,916,0,1695,1695,
Warren,396,632,1029,0,2057,2057,
Washington,1993,2215,3444,9,7661,7661,
