County,Joe Campbell (I) (Rep)_Election Day Votes,Joe Campbell (I) (Rep)_Absentee by Mail Votes,Joe Campbell (I) (Rep)_Advanced Voting Votes,Joe Campbell (I) (Rep)_Provisional Votes,Joe Campbell (I) (Rep)_TOTAL VOTES,Total,
Colquitt,1788,462,1829,6,4085,4085,
Decatur,1083,958,4049,3,6093,6093,
Mitchell,2007,1360,3545,6,6918,6918,
