County,Matt Hatchett (I) (Rep)_Election Day Votes,Matt Hatchett (I) (Rep)_Absentee by Mail Votes,Matt Hatchett (I) (Rep)_Advanced Voting Votes,Matt Hatchett (I) (Rep)_Provisional Votes,Matt Hatchett (I) (Rep)_TOTAL VOTES,Total,
Johnson,576,203,986,0,1765,1765,
Laurens,5607,3182,7167,3,15959,15959,
Treutlen,459,386,1570,0,2415,2415,
