County,Rick Jasperse (I) (Rep)_Election Day Votes,Rick Jasperse (I) (Rep)_Absentee by Mail Votes,Rick Jasperse (I) (Rep)_Advanced Voting Votes,Rick Jasperse (I) (Rep)_Provisional Votes,Rick Jasperse (I) (Rep)_TOTAL VOTES,Kayla Hollifield (Dem)_Election Day Votes,Kayla Hollifield (Dem)_Absentee by Mail Votes,Kayla Hollifield (Dem)_Advanced Voting Votes,Kayla Hollifield (Dem)_Provisional Votes,Kayla Hollifield (Dem)_TOTAL VOTES,Total,
Gordon,1566,440,1277,1,3284,145,172,168,0,485,3769,
Murray,1335,620,3244,0,5199,231,326,562,0,1119,6318,
Pickens,5949,1922,6273,6,14150,699,957,1011,1,2668,16818,
