County,Bill Hitchens (I) (Rep)_Election Day Votes,Bill Hitchens (I) (Rep)_Absentee by Mail Votes,Bill Hitchens (I) (Rep)_Advanced Voting Votes,Bill Hitchens (I) (Rep)_Provisional Votes,Bill Hitchens (I) (Rep)_TOTAL VOTES,Total,
Chatham,3233,3123,6093,21,12470,12470,
Effingham,4980,2071,8368,9,15428,15428,
