County,"William K. Boddie, Jr. (I) (Dem)_Election Day Votes","William K. Boddie, Jr. (I) (Dem)_Absentee by Mail Votes","William K. Boddie, Jr. (I) (Dem)_Advanced Voting Votes","William K. Boddie, Jr. (I) (Dem)_Provisional Votes","William K. Boddie, Jr. (I) (Dem)_TOTAL VOTES",Total,
Douglas,1146,2374,4959,1,8480,8480,
Fulton,1965,4653,14204,89,20911,20911,
