County,Jason C. Jones (Rep)_Election Day Votes,Jason C. Jones (Rep)_Absentee by Mail Votes,Jason C. Jones (Rep)_Advanced Voting Votes,Jason C. Jones (Rep)_Provisional Votes,Jason C. Jones (Rep)_TOTAL VOTES,Kimberly Alexander (I) (Dem)_Election Day Votes,Kimberly Alexander (I) (Dem)_Absentee by Mail Votes,Kimberly Alexander (I) (Dem)_Advanced Voting Votes,Kimberly Alexander (I) (Dem)_Provisional Votes,Kimberly Alexander (I) (Dem)_TOTAL VOTES,Total,
Douglas,978,1497,3432,1,5908,2142,5219,8501,26,15888,21796,
Paulding,487,657,2541,0,3685,409,1124,1829,0,3362,7047,
