County,Matt Dollar (I) (Rep)_Election Day Votes,Matt Dollar (I) (Rep)_Absentee by Mail Votes,Matt Dollar (I) (Rep)_Advanced Voting Votes,Matt Dollar (I) (Rep)_Provisional Votes,Matt Dollar (I) (Rep)_TOTAL VOTES,Sara Tindall Ghazal (Dem)_Election Day Votes,Sara Tindall Ghazal (Dem)_Absentee by Mail Votes,Sara Tindall Ghazal (Dem)_Advanced Voting Votes,Sara Tindall Ghazal (Dem)_Provisional Votes,Sara Tindall Ghazal (Dem)_TOTAL VOTES,Total,
Cobb,3891,7024,7348,9,18272,1225,7902,4427,4,13558,31830,
Fulton,182,334,755,6,1277,248,735,1454,11,2448,3725,
