index,County,Precinct,Registered Voters,"Paul W. Calhoun, III (Rep)_Election Day Votes","Paul W. Calhoun, III (Rep)_Advanced Voting Votes","Paul W. Calhoun, III (Rep)_Absentee by Mail Votes","Paul W. Calhoun, III (Rep)_Provisional Votes","Paul W. Calhoun, III (Rep)_Choice Total",Total,
0,Treutlen,Annex,0,234,866,180,0,1280,1280,
1,Treutlen,Soperton,0,220,732,229,0,1181,1181,
