index,County,Precinct,Registered Voters,Tommy Corbin (I) (Rep)_Election Day Votes,Tommy Corbin (I) (Rep)_Advanced Voting Votes,Tommy Corbin (I) (Rep)_Absentee by Mail Votes,Tommy Corbin (I) (Rep)_Provisional Votes,Tommy Corbin (I) (Rep)_Choice Total,Total,
0,Treutlen,Annex,0,247,880,183,0,1310,1310,
1,Treutlen,Soperton,0,221,768,261,0,1250,1250,
