index,County,Precinct,Registered Voters,Craig Fraser (I) (Rep)_Election Day Votes,Craig Fraser (I) (Rep)_Advanced Voting Votes,Craig Fraser (I) (Rep)_Absentee by Mail Votes,Craig Fraser (I) (Rep)_Provisional Votes,Craig Fraser (I) (Rep)_Choice Total,Adriane Latrell Love (Dem)_Election Day Votes,Adriane Latrell Love (Dem)_Advanced Voting Votes,Adriane Latrell Love (Dem)_Absentee by Mail Votes,Adriane Latrell Love (Dem)_Provisional Votes,Adriane Latrell Love (Dem)_Choice Total,Total,
0,Treutlen,Annex,0,208,741,141,0,1090,48,197,63,0,308,1398,
1,Treutlen,Soperton,0,122,408,108,0,638,157,546,264,0,967,1605,
