index,County,Precinct,Registered Voters,Toni Banes (I) (Dem)_Election Day Votes,Toni Banes (I) (Dem)_Advanced Voting Votes,Toni Banes (I) (Dem)_Absentee by Mail Votes,Toni Banes (I) (Dem)_Provisional Votes,Toni Banes (I) (Dem)_Choice Total,Total,
0,Treutlen,Annex,0,7,12,2,0,21,21,
1,Treutlen,Soperton,0,81,224,129,0,434,434,
