index,County,Precinct,Registered Voters,Greg Higgs (I) (Rep)_Election Day Votes,Greg Higgs (I) (Rep)_Advanced Voting Votes,Greg Higgs (I) (Rep)_Absentee by Mail Votes,Greg Higgs (I) (Rep)_Provisional Votes,Greg Higgs (I) (Rep)_Choice Total,Total,
0,Treutlen,Annex,0,247,889,186,0,1322,1322,
1,Treutlen,Soperton,0,231,785,258,0,1274,1274,
