index,County,Precinct,Registered Voters,T.J. Hudson (I) (Rep)_Election Day Votes,T.J. Hudson (I) (Rep)_Advanced Voting Votes,T.J. Hudson (I) (Rep)_Absentee by Mail Votes,T.J. Hudson (I) (Rep)_Provisional Votes,T.J. Hudson (I) (Rep)_Choice Total,Total,
0,Treutlen,Annex,0,255,894,184,0,1333,1333,
1,Treutlen,Soperton,0,256,850,270,0,1376,1376,
