index,County,Precinct,Registered Voters,Cali Little Hollis (I) (Dem)_Election Day Votes,Cali Little Hollis (I) (Dem)_Advanced Voting Votes,Cali Little Hollis (I) (Dem)_Absentee by Mail Votes,Cali Little Hollis (I) (Dem)_Provisional Votes,Cali Little Hollis (I) (Dem)_Choice Total,Total,
0,Treutlen,Annex,0,7,11,2,0,20,20,
1,Treutlen,Soperton,0,76,218,128,0,422,422,
