index,County,Precinct,Registered Voters,Matt Hatchett (I) (Rep)_Election Day Votes,Matt Hatchett (I) (Rep)_Advanced Voting Votes,Matt Hatchett (I) (Rep)_Absentee by Mail Votes,Matt Hatchett (I) (Rep)_Provisional Votes,Matt Hatchett (I) (Rep)_Choice Total,Total,
0,Treutlen,Annex,0,245,871,175,0,1291,1291,
1,Treutlen,Soperton,0,214,699,211,0,1124,1124,
