index,County,Precinct,Registered Voters,Josh Kelly (I) (Rep)_Election Day Votes,Josh Kelly (I) (Rep)_Advanced Voting Votes,Josh Kelly (I) (Rep)_Absentee by Mail Votes,Josh Kelly (I) (Rep)_Provisional Votes,Josh Kelly (I) (Rep)_Choice Total,Total,
0,Treutlen,Annex,0,10,40,11,0,61,61,
1,Treutlen,Soperton,0,96,332,58,0,486,486,
