County,J. Collins (I) (Rep)_Election Day Votes,J. Collins (I) (Rep)_Absentee by Mail Votes,J. Collins (I) (Rep)_Advanced Voting Votes,J. Collins (I) (Rep)_Provisional Votes,J. Collins (I) (Rep)_TOTAL VOTES,Total,
Carroll,5802,3126,12495,3,21426,21426,
Douglas,469,602,2233,0,3304,3304,
