County,Stan Gunter (Rep)_Election Day Votes,Stan Gunter (Rep)_Absentee by Mail Votes,Stan Gunter (Rep)_Advanced Voting Votes,Stan Gunter (Rep)_Provisional Votes,Stan Gunter (Rep)_TOTAL VOTES,Dave Cooper (Dem)_Election Day Votes,Dave Cooper (Dem)_Absentee by Mail Votes,Dave Cooper (Dem)_Advanced Voting Votes,Dave Cooper (Dem)_Provisional Votes,Dave Cooper (Dem)_TOTAL VOTES,Total,
Rabun,1152,1694,4566,0,7412,220,819,841,0,1880,9292,
Towns,953,1261,4117,7,6338,136,627,670,0,1433,7771,
Union,3322,2292,7032,10,12656,305,1157,1076,0,2538,15194,
White,872,493,1422,2,2789,112,204,240,0,556,3345,
