County,Darlene Taylor (I) (Rep)_Election Day Votes,Darlene Taylor (I) (Rep)_Absentee by Mail Votes,Darlene Taylor (I) (Rep)_Advanced Voting Votes,Darlene Taylor (I) (Rep)_Provisional Votes,Darlene Taylor (I) (Rep)_TOTAL VOTES,Booker T. Gainor (Dem)_Election Day Votes,Booker T. Gainor (Dem)_Absentee by Mail Votes,Booker T. Gainor (Dem)_Advanced Voting Votes,Booker T. Gainor (Dem)_Provisional Votes,Booker T. Gainor (Dem)_TOTAL VOTES,Total,
Decatur,674,320,1229,2,2225,257,467,574,0,1298,3523,
Grady,1916,1148,3845,0,6909,736,1032,1883,0,3651,10560,
Thomas,819,795,3512,0,5126,742,1303,2761,2,4808,9934,
