County,James Burchett (I) (Rep)_Election Day Votes,James Burchett (I) (Rep)_Absentee by Mail Votes,James Burchett (I) (Rep)_Advanced Voting Votes,James Burchett (I) (Rep)_Provisional Votes,James Burchett (I) (Rep)_TOTAL VOTES,"Evans Primus, Jr. (Dem)_Election Day Votes","Evans Primus, Jr. (Dem)_Absentee by Mail Votes","Evans Primus, Jr. (Dem)_Advanced Voting Votes","Evans Primus, Jr. (Dem)_Provisional Votes","Evans Primus, Jr. (Dem)_TOTAL VOTES",Total,
Atkinson,707,172,1370,1,2250,194,116,369,0,679,2929,
Lanier,488,264,1778,0,2530,175,267,469,0,911,3441,
Lowndes,1228,649,3421,32,5330,353,797,1605,26,2781,8111,
Ware,1474,776,2928,0,5178,239,757,841,0,1837,7015,
