County,Richard H. Smith (I) (Rep)_Election Day Votes,Richard H. Smith (I) (Rep)_Absentee by Mail Votes,Richard H. Smith (I) (Rep)_Advanced Voting Votes,Richard H. Smith (I) (Rep)_Provisional Votes,Richard H. Smith (I) (Rep)_TOTAL VOTES,Carl Sprayberry (Dem)_Election Day Votes,Carl Sprayberry (Dem)_Absentee by Mail Votes,Carl Sprayberry (Dem)_Advanced Voting Votes,Carl Sprayberry (Dem)_Provisional Votes,Carl Sprayberry (Dem)_TOTAL VOTES,Total,
Harris,1463,668,2003,1,4135,227,530,653,0,1410,5545,
Muscogee,3045,2898,7499,4,13446,1275,2841,4284,1,8401,21847,
