County,Sandra Givens Scott (I) (Dem)_Election Day Votes,Sandra Givens Scott (I) (Dem)_Absentee by Mail Votes,Sandra Givens Scott (I) (Dem)_Advanced Voting Votes,Sandra Givens Scott (I) (Dem)_Provisional Votes,Sandra Givens Scott (I) (Dem)_TOTAL VOTES,Total,
Clayton,2523,4397,8984,29,15933,15933,
Henry,830,2269,5499,2,8600,8600,
