County,Bill Yearta (I) (Rep)_Election Day Votes,Bill Yearta (I) (Rep)_Absentee by Mail Votes,Bill Yearta (I) (Rep)_Advanced Voting Votes,Bill Yearta (I) (Rep)_Provisional Votes,Bill Yearta (I) (Rep)_TOTAL VOTES,Total,
Lee,3621,1793,9098,6,14518,14518,
Sumter,454,169,582,1,1206,1206,
Worth,3114,1185,3819,0,8118,8118,
