County,Buddy Deloach (Rep)_Election Day Votes,Buddy Deloach (Rep)_Absentee by Mail Votes,Buddy Deloach (Rep)_Advanced Voting Votes,Buddy Deloach (Rep)_Provisional Votes,Buddy Deloach (Rep)_TOTAL VOTES,Total,
Glynn,2184,2067,7289,8,11548,11548,
Long,1342,502,2719,13,4576,4576,
McIntosh,1034,1135,2841,1,5011,5011,
