County,Todd Jones (I) (Rep)_Election Day Votes,Todd Jones (I) (Rep)_Absentee by Mail Votes,Todd Jones (I) (Rep)_Advanced Voting Votes,Todd Jones (I) (Rep)_Provisional Votes,Todd Jones (I) (Rep)_TOTAL VOTES,Christa Olenczak (Dem)_Election Day Votes,Christa Olenczak (Dem)_Absentee by Mail Votes,Christa Olenczak (Dem)_Advanced Voting Votes,Christa Olenczak (Dem)_Provisional Votes,Christa Olenczak (Dem)_TOTAL VOTES,Total,
Forsyth,1924,4613,15308,5,21850,753,4784,7083,6,12626,34476,
Fulton,177,378,1316,12,1883,70,701,1280,10,2061,3944,
