County,Robert Pruitt (Rep)_Election Day Votes,Robert Pruitt (Rep)_Absentee by Mail Votes,Robert Pruitt (Rep)_Advanced Voting Votes,Robert Pruitt (Rep)_Provisional Votes,Robert Pruitt (Rep)_TOTAL VOTES,Total,
Dodge,2519,920,3169,5,6613,6613,
Jeff Davis,458,233,945,0,1636,1636,
Laurens,485,108,185,1,779,779,
Telfair,1041,455,1644,4,3144,3144,
Wheeler,528,235,1036,0,1799,1799,
