County,Lee Hawkins (I) (Rep)_Election Day Votes,Lee Hawkins (I) (Rep)_Absentee by Mail Votes,Lee Hawkins (I) (Rep)_Advanced Voting Votes,Lee Hawkins (I) (Rep)_Provisional Votes,Lee Hawkins (I) (Rep)_TOTAL VOTES,Total,
Hall,4504,4198,15042,0,23744,23744,
White,306,135,508,0,949,949,
