County,Roger Bruce (I) (Dem)_Election Day Votes,Roger Bruce (I) (Dem)_Absentee by Mail Votes,Roger Bruce (I) (Dem)_Advanced Voting Votes,Roger Bruce (I) (Dem)_Provisional Votes,Roger Bruce (I) (Dem)_TOTAL VOTES,Total,
Cobb,436,774,1217,1,2428,2428,
Douglas,1437,2556,4315,7,8315,8315,
Fulton,1195,3200,8692,32,13119,13119,
