County,Mark Newton (I) (Rep)_Election Day Votes,Mark Newton (I) (Rep)_Absentee by Mail Votes,Mark Newton (I) (Rep)_Advanced Voting Votes,Mark Newton (I) (Rep)_Provisional Votes,Mark Newton (I) (Rep)_TOTAL VOTES,Total,
Columbia,4147,2691,6830,11,13679,13679,
Richmond,2209,2694,4845,0,9748,9748,
