County,Rob Leverett (Rep)_Election Day Votes,Rob Leverett (Rep)_Absentee by Mail Votes,Rob Leverett (Rep)_Advanced Voting Votes,Rob Leverett (Rep)_Provisional Votes,Rob Leverett (Rep)_TOTAL VOTES,Kerry Dornell Hamm (Dem)_Election Day Votes,Kerry Dornell Hamm (Dem)_Absentee by Mail Votes,Kerry Dornell Hamm (Dem)_Advanced Voting Votes,Kerry Dornell Hamm (Dem)_Provisional Votes,Kerry Dornell Hamm (Dem)_TOTAL VOTES,Total,
Columbia,358,70,305,1,734,28,25,30,0,83,817,
Elbert,1843,1107,3537,0,6487,502,939,1088,0,2529,9016,
Lincoln,906,450,1843,0,3199,239,594,488,0,1321,4520,
Madison,2396,1330,4573,2,8301,608,921,1201,1,2731,11032,
Wilkes,229,199,615,1,1044,65,128,122,0,315,1359,
