County,Dale Rutledge (I) (Rep)_Election Day Votes,Dale Rutledge (I) (Rep)_Absentee by Mail Votes,Dale Rutledge (I) (Rep)_Advanced Voting Votes,Dale Rutledge (I) (Rep)_Provisional Votes,Dale Rutledge (I) (Rep)_TOTAL VOTES,Regina Lewis-Ward (Dem)_Election Day Votes,Regina Lewis-Ward (Dem)_Absentee by Mail Votes,Regina Lewis-Ward (Dem)_Advanced Voting Votes,Regina Lewis-Ward (Dem)_Provisional Votes,Regina Lewis-Ward (Dem)_TOTAL VOTES,Total,
Henry,2615,2189,8474,3,13281,1536,3787,8058,0,13381,26662,
Newton,330,135,377,0,842,211,336,458,0,1005,1847,
Rockdale,334,378,990,0,1702,324,766,1532,0,2622,4324,
